county_clean,county_fips_full,year,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_rate,renter_rate,owner_occupied_hh_15_24,owner_occupied_hh_25_34,owner_occupied_hh_35_44,owner_occupied_hh_45_54,owner_occupied_hh_55_59,owner_occupied_hh_60_64,owner_occupied_hh_65_74,owner_occupied_hh_75_84,owner_occupied_hh_85_plus,renter_occupied_hh_15_24,renter_occupied_hh_25_34,renter_occupied_hh_35_44,renter_occupied_hh_45_54,renter_occupied_hh_55_59,renter_occupied_hh_60_64,renter_occupied_hh_65_74,renter_occupied_hh_75_84,renter_occupied_hh_85_plus
Cumberland,34011,2007,47978,35370,12608,0.7372128892409021,0.26278711075909794,336,3210,6977,8681,3442,3646,4985,2994,1099,915,5533,3330,2511,319,0,0,0,0
Essex,34013,2007,242533,131375,111158,0.5416788643194946,0.4583211356805053,464,10101,27511,35562,14232,12281,16308,11664,3252,8547,32419,32877,26340,10975,0,0,0,0
Gloucester,34015,2007,96613,80363,16250,0.8318031734859698,0.1681968265140302,381,8815,19442,20624,9109,6819,8003,6125,1045,2688,4533,3711,3897,1421,0,0,0,0
Hudson,34017,2007,199552,80109,119443,0.401444235086594,0.598555764913406,392,10390,18264,18209,8227,7089,9354,5954,2230,8164,36069,37424,28029,9757,0,0,0,0
Hunterdon,34019,2007,45981,41622,4359,0.905199973902264,0.09480002609773602,25,3169,9838,11226,5639,3656,4850,2687,532,131,1226,1285,1234,483,0,0,0,0
Mercer,34021,2007,120426,89546,30880,0.7435769684287447,0.2564230315712554,354,8669,19562,22409,10061,8557,10680,7297,1957,3427,9114,7493,8409,2437,0,0,0,0
Middlesex,34023,2007,257252,182242,75010,0.7084182047175532,0.29158179528244677,856,15712,42495,49035,18874,15234,21520,14635,3881,5046,25908,24256,15895,3905,0,0,0,0
Monmouth,34025,2007,218598,174955,43643,0.8003504149168794,0.1996495850831206,613,13479,36496,49807,21338,16207,21114,11382,4519,2907,12526,12339,12127,3744,0,0,0,0
Morris,34027,2007,166161,133747,32414,0.8049241398402754,0.1950758601597246,83,9183,31084,36370,15240,13961,16286,8642,2898,2209,10829,7711,8481,3184,0,0,0,0
Ocean,34029,2007,213870,184003,29867,0.8603497451723009,0.13965025482769908,1255,18589,29914,37552,14663,14344,26549,29368,11769,2917,9982,9448,5813,1707,0,0,0,0
