county_clean,county_fips_full,year,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_rate,renter_rate,owner_occupied_hh_15_24,owner_occupied_hh_25_34,owner_occupied_hh_35_44,owner_occupied_hh_45_54,owner_occupied_hh_55_59,owner_occupied_hh_60_64,owner_occupied_hh_65_74,owner_occupied_hh_75_84,owner_occupied_hh_85_plus,renter_occupied_hh_15_24,renter_occupied_hh_25_34,renter_occupied_hh_35_44,renter_occupied_hh_45_54,renter_occupied_hh_55_59,renter_occupied_hh_60_64,renter_occupied_hh_65_74,renter_occupied_hh_75_84,renter_occupied_hh_85_plus
Cumberland,34011,2019,51360,33804,17556,0.6581775700934579,0.34182242990654205,624,2325,5577,6591,4173,4661,5720,2588,1545,279,5898,3004,2965,1074,654,2157,1031,494
Essex,34013,2019,295976,131638,164338,0.44475903451631216,0.5552409654836878,783,7562,22035,31429,14913,14768,22307,12090,5751,5163,34763,38238,29132,13098,13448,18566,8412,3518
Gloucester,34015,2019,106705,83415,23290,0.7817346890961061,0.21826531090389392,703,6788,15192,16906,9472,10762,14102,6915,2575,1264,4999,3817,3469,1574,2539,2696,1769,1163
Hudson,34017,2019,266664,83332,183332,0.3124981249812498,0.6875018750187502,417,10217,16960,15404,9439,9703,11839,7504,1849,6989,53526,42341,27743,13018,11398,16441,7562,4314
Hunterdon,34019,2019,47901,38527,9374,0.8043047118014238,0.19569528819857623,0,2415,5220,9212,4218,5397,6931,4204,930,162,1483,2727,1129,637,777,1055,959,445
Mercer,34021,2019,130851,81851,49000,0.6255282726154175,0.37447172738458245,184,4705,12891,17273,10469,10746,14295,7777,3511,3418,11497,8725,9313,3206,3241,4798,3101,1701
Middlesex,34023,2019,285906,181453,104453,0.6346596433792925,0.3653403566207075,151,12601,28319,38176,24649,21097,31760,16721,7979,3674,26767,24329,19829,6145,6409,8578,5479,3243
Monmouth,34025,2019,240377,174634,65743,0.7265004555344313,0.2734995444655687,198,10583,23418,37250,23923,23529,34134,15287,6312,2268,15089,11259,11649,4579,5312,6829,6074,2684
Morris,34027,2019,184885,132419,52466,0.7162235984530925,0.28377640154690753,305,8860,17803,30876,17099,15848,22301,13896,5431,1490,10732,11520,8404,4517,4250,5651,3145,2757
Ocean,34029,2019,226725,183046,43679,0.8073481089425516,0.19265189105744845,550,14186,22025,28990,18727,22353,38598,28256,9361,2187,9087,7419,6811,3542,3165,5324,3958,2186
Passaic,34031,2019,168059,88200,79859,0.5248156897280122,0.4751843102719878,420,6036,13854,18282,10935,10862,16861,6375,4575,2590,13332,17520,17255,6894,6092,9613,4177,2386
Salem,34033,2019,24404,17467,6937,0.7157433207670874,0.28425667923291265,213,1308,2707,3219,1696,2406,3159,2254,505,146,1013,1635,1534,496,591,626,542,354
Somerset,34035,2019,122606,91514,31092,0.7464071905126992,0.2535928094873008,478,6427,14650,21382,12811,10754,14329,7100,3583,815,7612,7335,4822,3172,1559,2345,1821,1611
Sussex,34037,2019,54099,47108,6991,0.8707739514593615,0.12922604854063846,263,4158,6331,10450,5422,6791,8402,3643,1648,512,1071,1726,1182,687,417,681,157,558
Union,34039,2019,192848,111662,81186,0.5790155977764871,0.4209844022235128,378,7437,20085,25947,12201,13511,17846,9504,4753,1798,16795,20191,15340,7177,5270,7781,4655,2179
Warren,34041,2019,42397,29647,12750,0.699271174847277,0.3007288251527231,0,1726,3549,6760,3885,3360,5795,3115,1457,266,2387,2021,2552,865,1479,1818,1014,348
Atlantic,34001,2020,107137,71428,35709,0.6666977794786115,0.3333022205213885,765,5508,9710,12518,7912,9940,15172,7240,2663,1906,5952,7073,5790,3802,3254,4616,2522,794
Bergen,34003,2020,347882,228197,119685,0.6559609292806181,0.34403907071938183,982,12460,36826,50780,26183,27940,40844,22714,9468,3568,24650,26162,21628,9690,10300,12552,6672,4463
Burlington,34005,2020,172965,130374,42591,0.7537594310987772,0.24624056890122278,883,10418,20842,25650,16128,15636,23987,12200,4630,2198,11315,8662,6174,3594,2704,4106,2218,1620
Camden,34007,2020,194473,129191,65282,0.6643132979899523,0.3356867020100477,650,12909,21520,26120,14010,14958,22166,12304,4554,3308,15456,13102,10287,5434,4883,7648,3368,1796
Cape May,34009,2020,44899,34349,10550,0.7650281743468674,0.2349718256531326,1047,2828,4210,4932,3316,4458,7488,4592,1478,1080,1770,1618,1350,838,1386,1218,786,504
Cumberland,34011,2020,52623,34536,18087,0.656290975428995,0.34370902457100505,422,3452,5380,6482,4074,4058,6246,2964,1458,773,4565,3112,3300,1298,1044,2556,1016,423
Essex,34013,2020,309214,137656,171558,0.44518036052701365,0.5548196394729863,828,8434,24002,32138,14962,15763,23461,12488,5580,5429,35840,39378,30660,14896,13578,18986,8844,3947
Gloucester,34015,2020,109605,87048,22557,0.7941973450116326,0.2058026549883673,468,8396,16004,17134,9719,10237,15288,7310,2492,1079,4592,3927,3703,1618,2306,3160,1378,794
Hudson,34017,2020,279332,88748,190584,0.31771512035856975,0.6822848796414303,670,11060,17566,16206,9518,9786,13754,7863,2325,6798,55283,43740,30722,14318,11408,17032,7484,3799
Hunterdon,34019,2020,49595,41549,8046,0.8377659038209497,0.1622340961790503,0,2958,6024,8900,5316,5484,7785,3580,1502,175,1412,1838,1048,700,826,933,786,328
Mercer,34021,2020,137411,86337,51074,0.6283121438603896,0.37168785613961036,420,5501,13316,18346,10060,11864,15430,8184,3216,2763,10964,10492,9452,4185,3525,5281,2892,1520
Middlesex,34023,2020,296869,190316,106553,0.6410773775638413,0.3589226224361587,526,12724,30548,40431,24886,21607,34804,17120,7670,4786,26830,26254,18368,6484,6772,9657,5044,2358
Monmouth,34025,2020,245558,182271,63287,0.742272701357724,0.25772729864227595,646,11494,26228,37966,24138,24191,35103,16433,6072,1932,13926,9898,10796,4982,5373,8275,5290,2815
Morris,34027,2020,188867,138860,50007,0.7352263762330106,0.2647736237669895,327,10186,20431,31154,18786,15724,23550,13529,5173,1288,11264,11102,7304,4326,3842,5154,3025,2702
Ocean,34029,2020,233729,188419,45310,0.8061430117785983,0.1938569882214017,574,15552,22158,28950,18864,22840,41838,27082,10561,2476,9766,8606,7417,3474,3214,5104,3535,1718
Passaic,34031,2020,172563,90181,82382,0.5225975440853485,0.47740245591465147,268,6893,14512,18242,11267,11017,17025,7641,3316,2458,14538,17877,17454,6842,6806,9840,4379,2188
Salem,34033,2020,24689,17702,6987,0.7169994734497145,0.28300052655028557,154,1416,2524,3377,1806,2117,3414,2190,704,119,1342,1329,1294,789,382,992,393,347
Somerset,34035,2020,126773,96028,30745,0.7574799050270957,0.24252009497290433,441,7960,15772,21670,12444,11907,15381,7394,3059,811,7516,6770,5349,2544,1846,2542,2052,1315
Sussex,34037,2020,56432,49030,7402,0.8688332860788205,0.13116671392117948,460,4866,7270,10058,5992,6572,8552,4038,1222,387,1194,1484,1280,706,699,920,372,360
Union,34039,2020,197123,113343,83780,0.574986176143829,0.42501382385617104,346,7858,20726,25438,13007,12636,19294,9958,4080,1958,16550,19522,15887,7535,7104,8426,4640,2158
Warren,34041,2020,44375,31834,12541,0.7173859154929577,0.28261408450704223,198,2450,3922,7211,3762,4062,5484,3602,1143,614,2328,1990,2033,1379,1321,1764,696,416
Atlantic,34001,2021,112299,75198,37101,0.6696230598669624,0.3303769401330377,989,6454,10435,12716,8187,10513,15754,7330,2820,1606,5809,7430,5704,3803,3155,5738,3006,850
Bergen,34003,2021,352030,234102,117928,0.6650058233673266,0.33499417663267334,680,12649,39748,50167,26495,29915,42093,22648,9707,3155,23817,26075,21733,8468,10655,13544,5741,4740
Burlington,34005,2021,175859,136141,39718,0.7741486076913892,0.22585139230861087,1075,10720,21982,26616,16176,17264,25418,12131,4759,2336,11397,8133,4727,2894,3024,3638,1975,1594
Camden,34007,2021,201158,131385,69773,0.6531433002913133,0.3468566997086867,787,13562,22773,26215,14081,14361,23160,11857,4589,4097,16970,14418,8998,5820,4918,8610,3921,2021
Cape May,34009,2021,48860,38163,10697,0.7810683585755219,0.2189316414244781,1475,3548,4802,5970,3100,5178,8022,4579,1489,1532,1633,1760,1132,779,1334,1127,986,414
Cumberland,34011,2021,53883,35266,18617,0.6544921403782269,0.3455078596217731,220,4579,5183,6373,3974,3456,6771,3340,1370,1267,3232,3220,3636,1522,1433,2954,1001,352
Essex,34013,2021,322453,143674,178779,0.4455657103515861,0.5544342896484139,874,9305,25968,32848,15011,16758,24615,12887,5408,5695,36916,40518,32187,16695,13709,19407,9276,4376
Gloucester,34015,2021,112502,90679,21823,0.8060212262893104,0.19397877371068958,232,10004,16815,17361,9966,9712,16475,7706,2408,894,4184,4037,3937,1661,2072,3625,988,425
Hudson,34017,2021,292000,94167,197833,0.3224897260273973,0.6775102739726028,923,11903,18173,17007,9598,9870,15670,8222,2801,6606,57040,45139,33702,15617,11417,17622,7406,3284
Hunterdon,34019,2021,51292,44572,6720,0.8689854168291351,0.13101458317086484,0,3502,6829,8588,6415,5570,8639,2955,2074,188,1342,950,967,764,875,811,613,210
Mercer,34021,2021,143970,90821,53149,0.6308328123914705,0.36916718760852957,656,6297,13742,19418,9650,12981,16565,8590,2922,2108,10431,12258,9592,5164,3809,5764,2683,1340
Middlesex,34023,2021,307831,199177,108654,0.6470335996049781,0.3529664003950219,900,12848,32777,42686,25122,22117,37847,17518,7362,5897,26893,28178,16908,6823,7136,10736,4610,1473
Monmouth,34025,2021,250738,189905,60833,0.7573842018361796,0.2426157981638204,1093,12404,29038,38681,24354,24853,36072,17579,5831,1596,12764,8537,9944,5385,5434,9721,4506,2946
Morris,34027,2021,192847,145301,47546,0.7534522185981634,0.2465477814018367,349,11513,23059,31431,20473,15600,24799,13162,4915,1085,11796,10685,6203,4135,3433,4657,2905,2647
Ocean,34029,2021,240736,193793,46943,0.8050021600425362,0.19499783995746378,597,16918,22290,28910,19002,23328,45078,25909,11761,2764,10446,9794,8023,3407,3262,4885,3112,1250
Passaic,34031,2021,177063,92159,84904,0.5204870582786918,0.47951294172130826,116,7750,15169,18201,11599,11172,17189,8907,2056,2326,15744,18234,17654,6789,7519,10068,4581,1989
Salem,34033,2021,24973,17937,7036,0.7182557161734674,0.28174428382653266,96,1525,2341,3535,1915,1828,3668,2127,902,92,1672,1023,1053,1082,172,1358,244,340
Somerset,34035,2021,130939,100542,30397,0.767853733417851,0.23214626658214893,404,9494,16895,21957,12076,13060,16433,7688,2535,807,7420,6206,5876,1915,2134,2738,2282,1019
Sussex,34037,2021,58767,50953,7814,0.8670342198853098,0.1329657801146902,656,5575,8210,9666,6561,6353,8703,4432,797,262,1318,1242,1379,725,981,1158,587,162
Union,34039,2021,201392,115020,86372,0.5711249702073568,0.4288750297926432,313,8278,21366,24930,13813,11762,20741,10411,3406,2119,16305,18852,16434,7893,8938,9070,4625,2136
Warren,34041,2021,46353,34019,12334,0.7339115051884452,0.26608849481155483,396,3175,4295,7662,3638,4763,5173,4088,829,963,2269,1959,1514,1893,1163,1711,377,485
Atlantic,34001,2022,106972,74931,32041,0.700473020977452,0.29952697902254793,1269,5742,8835,13549,8088,11337,14130,8887,3094,64,6948,6996,5559,2158,3244,4880,1216,976
Bergen,34003,2022,354937,233045,121892,0.6565813087956455,0.3434186912043546,527,14590,37769,49059,25982,27454,42992,25462,9210,3289,23738,27412,23173,9634,10430,12231,8601,3384
Burlington,34005,2022,176334,135057,41277,0.7659158188437851,0.2340841811562149,668,10664,22197,27067,14239,15773,25110,14700,4639,3235,9505,7943,4628,3289,3011,4706,2757,2203
Camden,34007,2022,203530,134618,68912,0.6614160074681865,0.3385839925318135,678,13128,22961,26945,13599,15379,25859,11819,4250,4113,17181,13660,10027,4306,5850,6891,4727,2157
Cape May,34009,2022,48563,37046,11517,0.762844140600869,0.23715585939913103,0,3538,3777,5002,3687,4790,8950,5524,1778,2506,2575,1859,1113,251,1029,1130,844,210
Cumberland,34011,2022,54961,36759,18202,0.6688197085205874,0.3311802914794127,686,4490,5695,6322,4681,3851,6178,3478,1378,822,3584,4228,1949,799,1641,2809,1443,927
Essex,34013,2022,321371,148132,173239,0.4609376701693681,0.5390623298306318,1050,11385,26238,33510,15756,15278,25748,13503,5664,6381,36833,34646,32192,14699,14149,20521,10963,2855
Gloucester,34015,2022,111781,90355,21426,0.8083216288993658,0.19167837110063426,358,9093,15063,17710,9930,10953,15820,8476,2952,2291,4269,4083,2171,1047,2773,2914,1425,453
Hudson,34017,2022,304526,98457,206069,0.3233122951734827,0.6766877048265173,707,11385,19717,19209,10491,9257,16548,9020,2123,11462,61375,43405,30456,15749,12048,17909,9916,3749
Hunterdon,34019,2022,50515,43634,6881,0.8637830347421558,0.1362169652578442,130,2990,5641,9513,5681,5712,7711,5043,1213,277,993,1208,1355,697,506,1253,426,166
Mercer,34021,2022,144989,92391,52598,0.6372276517528916,0.3627723482471084,451,6600,16883,19011,9647,10822,16620,9136,3221,3480,11606,9117,8233,4631,4345,6534,3025,1627
Middlesex,34023,2022,306950,199382,107568,0.6495585600260628,0.3504414399739371,623,13293,35217,41307,21842,24414,35463,18951,8272,5164,27052,24381,19053,9528,5434,9914,4900,2142
Monmouth,34025,2022,253767,193351,60416,0.7619233391260487,0.2380766608739513,911,15407,28622,38291,20263,26275,36328,20802,6452,1668,13309,10535,8468,6264,5705,7111,4393,2963
Morris,34027,2022,194141,145497,48644,0.7494398401162042,0.2505601598837958,525,10277,25579,30287,17288,15765,24914,16230,4632,2716,11356,8316,7106,3218,4403,5809,3364,2356
Ocean,34029,2022,241983,195515,46468,0.8079699813623271,0.19203001863767288,573,18444,21334,27722,19189,23613,43392,30434,10814,2859,9774,10515,7077,2538,3701,5606,2140,2258
Passaic,34031,2022,179292,96083,83209,0.5359023269303705,0.46409767306962946,483,8394,14484,17685,11355,12540,18292,9382,3468,2651,15937,17011,17447,7292,5556,9892,6537,886
Salem,34033,2022,25221,18889,6332,0.7489393759168946,0.25106062408310537,44,2095,2834,3866,1603,2156,3801,1534,956,160,421,1584,845,636,1055,1032,357,242
Somerset,34035,2022,130178,100332,29846,0.7707293090998479,0.2292706909001521,370,8583,16552,22720,11692,12344,15992,9339,2740,261,6186,8558,3878,2180,3155,2768,1930,930
Sussex,34037,2022,58885,50049,8836,0.8499448076759786,0.1500551923240214,528,5339,8298,9053,6158,6031,8696,4237,1709,355,1789,2045,1328,833,930,876,440,240
Union,34039,2022,202575,115513,87062,0.5702233740589905,0.4297766259410095,227,9117,18729,26254,14088,12425,19606,11102,3965,3664,16894,17922,15374,9576,5975,9714,4028,3915
Warren,34041,2022,45507,33959,11548,0.7462368426835432,0.2537631573164568,0,3842,5096,6888,4072,3598,6781,2761,921,562,1650,2480,1595,745,1160,1474,1562,320
Atlantic,34001,2023,111158,74940,36218,0.6741754979398694,0.32582450206013064,1076,6258,10798,11599,7229,11298,15702,8525,2455,986,7286,7474,6111,2459,2736,4959,3223,984
Bergen,34003,2023,356438,231063,125375,0.6482557976422267,0.3517442023577733,341,14908,36712,46875,27707,28452,38681,26737,10650,2936,23312,29180,19699,10790,10763,15554,9648,3493
Burlington,34005,2023,179477,137492,41985,0.766070304272971,0.2339296957270291,823,11599,24821,24608,15666,15119,26305,14714,3837,1530,9938,8002,6311,4410,1800,5247,3384,1363
Camden,34007,2023,201670,134076,67594,0.6648286805176774,0.3351713194823226,826,13961,25242,25995,13495,13747,24858,12653,3299,2449,14472,14267,8699,6362,6651,8015,4170,2509
Cape May,34009,2023,47516,39371,8145,0.828584055896961,0.17141594410303898,2191,3501,3849,5147,3417,4371,9541,6141,1213,1292,1606,873,1301,544,401,871,922,335
Cumberland,34011,2023,54482,36090,18392,0.6624206159832605,0.3375793840167395,297,4082,4583,7204,3526,4655,6618,3996,1129,71,2839,3732,3265,1356,1443,4431,796,459
Essex,34013,2023,322456,146736,175720,0.455057434192572,0.544942565807428,171,9742,29845,31139,14683,17713,24819,13924,4700,8567,32424,34787,34024,15399,13683,20433,12138,4265
Gloucester,34015,2023,113391,89768,23623,0.7916677690469262,0.20833223095307388,865,8254,16042,17245,9158,10719,16660,8593,2232,1803,4687,4839,3546,1792,1602,2737,1900,717
Hudson,34017,2023,305743,88102,217641,0.28815704693157324,0.7118429530684267,1058,11183,18027,15420,8920,9192,13440,8708,2154,12065,65587,48511,32425,12070,13633,20289,9439,3622
Hunterdon,34019,2023,51186,43834,7352,0.8563669753448209,0.14363302465517916,100,2957,6635,8411,5063,5942,8412,4846,1468,75,1791,1560,1031,713,227,1005,865,85
Mercer,34021,2023,146258,88183,58075,0.6029277031000013,0.3970722968999986,580,5828,14998,19714,9663,10484,15063,8217,3636,1787,14096,10821,9127,3668,5013,8651,3294,1618
Middlesex,34023,2023,311100,196353,114747,0.6311571841851494,0.3688428158148505,1299,12171,32369,43665,20284,22816,37439,18237,8073,4799,28875,26475,19716,7916,7734,11121,5083,3028
Monmouth,34025,2023,252995,188381,64614,0.7446036482934445,0.25539635170655545,968,12314,28689,36313,22049,25096,37792,19249,5911,2100,15997,10953,9387,4720,4555,8383,5766,2753
Morris,34027,2023,193192,144520,48672,0.7480641020332105,0.2519358979667895,196,11141,23334,29933,17308,17032,25370,15205,5001,2338,10774,8668,9417,3678,4154,4244,3392,2007
Ocean,34029,2023,245827,197440,48387,0.8031664544578098,0.19683354554219024,643,14590,24033,29197,18930,22744,44199,31409,11695,3321,13031,8740,6489,2896,3251,6169,3388,1102
Passaic,34031,2023,178277,97018,81259,0.5441980737840552,0.45580192621594484,615,6218,16021,19563,9570,11665,18068,11655,3643,3348,16056,16090,14435,5440,8577,9694,5838,1781
Salem,34033,2023,25207,18245,6962,0.7238068790415361,0.27619312095846393,210,1607,2811,3893,1557,2216,3643,1889,419,673,767,1670,1124,298,719,930,692,89
Somerset,34035,2023,132047,98372,33675,0.7449771672207623,0.2550228327792377,230,7454,17636,21050,12443,10944,17137,9215,2263,1291,7935,5451,5607,3140,2842,4067,1549,1793
Sussex,34037,2023,58679,49903,8776,0.8504405323880775,0.1495594676119225,164,5474,8966,8394,5616,6482,8887,5289,631,371,1745,1197,1578,464,936,1417,599,469
Union,34039,2023,206095,121379,84716,0.5889468449016231,0.411053155098377,975,9686,22272,26448,12531,14224,20214,11015,4014,2413,15256,19541,14450,8901,6959,9567,5331,2298
Warren,34041,2023,45263,34186,11077,0.7552747277025385,0.2447252722974615,133,2558,5528,5814,5197,3169,7296,3871,620,240,2541,2319,1416,802,342,1859,1299,259
