Year,CBSA,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_occupied_hh_15_24,owner_occupied_hh_25_34,owner_occupied_hh_35_44,owner_occupied_hh_45_54,owner_occupied_hh_55_59,owner_occupied_hh_60_64,owner_occupied_hh_65_74,owner_occupied_hh_75_84,owner_occupied_hh_85_plus,renter_occupied_hh_15_24,renter_occupied_hh_25_34,renter_occupied_hh_35_44,renter_occupied_hh_45_54,renter_occupied_hh_55_59,renter_occupied_hh_60_64,renter_occupied_hh_65_74,renter_occupied_hh_75_84,renter_occupied_hh_85_plus,owner_rate,renter_rate
2012,47220,45787,34006,11781,0,2503,6639,7387,4361,3458,5144,3308,1206,923,3678,2946,2458,1776,0,0,0,0,0.7426998929827243,0.2573001070172756
2013,0,35087,30288,4799,100,1558,2584,6214,3677,4312,6399,4601,843,260,1514,1169,1284,572,0,0,0,0,0.8632256961267706,0.1367743038732294
2013,10900,39214,28909,10305,0,1667,3981,8267,4208,2760,4345,2368,1313,1097,3083,3045,2182,898,0,0,0,0,0.7372112000816035,0.2627887999183965
2013,12100,93174,67645,25529,274,4423,8977,16651,10261,7458,11418,5939,2244,1282,7938,5729,7587,2993,0,0,0,0,0.7260072552428789,0.2739927447571211
2013,35620,2142540,1443874,698666,3570,88715,244888,361246,176890,152913,228833,125532,61287,29431,218381,198307,178764,73783,0,0,0,0,0.6739076049922055,0.32609239500779447
2013,36140,35087,30288,4799,100,1558,2584,6214,3677,4312,6399,4601,843,260,1514,1169,1284,572,0,0,0,0,0.8632256961267706,0.1367743038732294
2013,37980,447077,347760,99317,1030,27166,59132,89199,44652,36800,52131,26125,11525,7136,36428,24882,21236,9635,0,0,0,0,0.7778525846778072,0.22214741532219281
2013,45940,117619,84223,33396,26,5150,16730,20616,10183,8808,12800,6930,2980,2062,11935,8123,8435,2841,0,0,0,0,0.7160662818082113,0.28393371819178875
2013,47220,45796,31524,14272,189,2595,4951,6869,4648,3304,5319,2613,1036,1320,4548,3832,3786,786,0,0,0,0,0.6883570617521181,0.3116429382478819
2014,0,40779,30995,9784,94,2158,2295,6321,3149,4690,6935,4205,1148,887,1212,2139,2123,620,623,995,631,554,0.7600725863802448,0.23992741361975525
2014,10900,41607,29710,11897,33,1629,4867,8055,4103,3311,4087,2362,1263,547,2622,2271,2263,827,765,1544,629,429,0.714062537553777,0.285937462446223
2014,12100,101937,67981,33956,171,4334,8780,16511,9175,8553,11485,6829,2143,1565,8307,7070,6373,2121,2474,3946,1594,506,0.6668922962221765,0.33310770377782356
2014,35620,2346739,1428531,918208,3021,88293,238993,345750,180538,156253,230462,126871,58350,31652,207135,213722,181556,72817,61966,79661,43955,25744,0.6087302422638393,0.3912697577361607
2014,36140,40779,30995,9784,94,2158,2295,6321,3149,4690,6935,4205,1148,887,1212,2139,2123,620,623,995,631,554,0.7600725863802448,0.23992741361975525
2014,37980,481625,348919,132706,1267,26713,57786,83731,43878,38129,54994,29540,12881,7305,32557,25257,25971,8804,6807,12450,8244,5311,0.7244619776797301,0.2755380223202699
2014,45940,131564,83605,47959,82,5200,14126,21794,10015,10114,13192,6464,2618,3271,11800,9178,9388,3548,2621,3750,2894,1509,0.6354701894135174,0.36452981058648265
