State,County,Sub/Urb,HH_Size,Tenure,HH_Income,Supp_Weight,Relationship,Weight,Age,Education,Marital,Person_Income,Year
34,35620,2,3,1,67000,156688,1,2777.86,43,41,5,67000,2005
34,35620,2,3,2,42449,157083,1,2866.81,39,40,5,41349,2005
34,35620,2,2,1,8143,197722,1,3222.32,70,43,1,5628,2005
34,35620,2,1,2,0,197722,2,3488.4,80,43,7,0,2005
34,35620,2,2,2,61246,130178,1,2777.33,52,39,6,28246,2005
34,35620,2,2,1,71068,319235,1,3645.27,25,42,1,35034,2005
34,35620,2,2,1,84959,373953,1,3518.26,69,39,1,70505,2005
34,35620,2,2,2,39500,339854,2,3580.09,48,39,7,22000,2005
34,35620,2,1,2,19327,285108,2,2935.03,70,39,4,19327,2005
34,35620,1,5,2,1800,147235,1,2979.52,41,40,7,1800,2005
34,35620,2,3,1,99000,148031,1,3171.42,54,41,1,52000,2005
34,35620,2,2,1,2501,209863,1,3602.92,49,43,4,1501,2005
34,35620,2,1,1,37799,323004,2,3171.92,75,45,4,37799,2005
34,35620,2,4,1,42132,159376,1,2999.1,51,44,4,797,2005
34,35620,1,1,1,35111,167316,2,3203.89,60,38,6,35111,2005
34,35620,2,3,2,51153,176376,1,0.0,47,42,7,51153,2005
34,35620,2,2,2,47000,162311,2,3566.84,42,40,5,14000,2005
34,35620,2,1,2,802,321250,2,3564.9,78,39,4,802,2005
34,35620,2,1,2,800,172675,2,3209.66,47,33,4,800,2005
34,35620,2,2,2,2,276382,1,3223.87,71,39,1,1,2005
34,35620,2,1,1,20913,325580,2,3750.84,43,40,7,20913,2005
34,35620,2,3,1,65000,339088,1,3962.27,28,43,7,65000,2005
34,35620,2,3,2,54800,188834,1,3149.6,30,44,1,54800,2005
34,35620,2,5,2,38014,111463,1,3212.95,47,37,1,21007,2005
34,35620,2,2,1,54239,304828,1,3153.27,85,39,4,14239,2005
34,35620,2,2,1,25850,282446,1,2892.16,65,39,1,9211,2005
34,35620,2,2,1,100000,309960,1,2960.42,34,39,7,45000,2005
34,35620,2,1,1,16641,325209,2,3518.26,67,39,5,16641,2005
34,35620,2,4,1,447850,154078,1,3273.82,45,43,1,25000,2005
34,35620,2,1,1,12840,321250,2,3564.9,80,39,4,12840,2005
34,35620,2,2,1,28799,301347,1,3175.67,67,39,1,28149,2005
34,35620,2,2,2,33156,111463,1,2521.49,36,43,1,17128,2005
34,35620,2,1,1,15527,321250,2,3564.9,85,34,4,15527,2005
34,35620,2,4,1,90000,157083,1,3510.08,39,39,1,35000,2005
34,35620,2,1,1,15203,310397,2,2868.54,85,39,3,15203,2005
34,35620,2,3,1,93225,321965,1,3115.82,58,39,1,24608,2005
34,35620,2,1,1,11939,363776,2,3671.18,85,40,4,11939,2005
34,35620,2,2,1,33074,172364,1,0.0,58,39,1,33915,2005
34,35620,2,5,1,28028,213737,1,2651.03,45,39,1,28028,2005
34,35620,2,3,1,37555,172094,1,3012.51,66,43,4,15199,2005
34,35620,2,1,1,51463,304653,2,2890.55,63,43,5,51463,2005
34,35620,1,3,1,504751,308459,1,3568.21,57,45,1,428198,2005
