cbsa_code,cbsa_name,year,age_group,owner_units_estimated,renter_units_estimated,total_age_group_units,age_group_share_of_total_units,owner_rate_within_age_group,renter_rate_within_age_group,owner_units_cps,renter_units_cps,total_units_cps,avg_hh_income_cps,avg_person_income_cps,avg_hh_size_cps,avg_age_cps,avg_education_cps,married_share_cps,cps_records,owner_rate_cps,renter_rate_cps,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br,annual_change_pct,hpi
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2008,35-44,74895.0,26849.0,101744.0,0.22267209135893795,0.7361122031766001,0.2638877968233999,7989560.0,3028502.0,11018062.0,105151.04970420388,50613.07503570047,3.9213300850911894,39.75876138653059,40.99527267136453,0.750801002934999,74.0,0.7251329680301309,0.2748670319698691,682.0,781.0,932.0,1116.0,1327.0,-3.585,622.37
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2008,45-54,94095.0,20881.0,114976.0,0.2516310187931008,0.818388185360423,0.18161181463957696,14852302.0,2514506.0,17366808.0,129327.53732050242,73031.96258702232,3.0704068358445604,49.6359327517181,41.17478686929688,0.6933252213072201,92.0,0.8552119652615495,0.1447880347384505,682.0,781.0,932.0,1116.0,1327.0,-3.585,622.37
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2008,55-64,70802.0,7100.0,77902.0,0.1704926212950541,0.9088598495545686,0.09114015044543144,11778182.0,340956.0,12119138.0,139415.06568784016,66950.72940798265,2.7085678865939147,59.085366467483084,41.22541174133012,0.8560358005660138,52.0,0.971866315904646,0.028133684095353977,682.0,781.0,932.0,1116.0,1327.0,-3.585,622.37
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2008,65-74,43484.0,0.0,43484.0,0.0951670193883871,1.0,0.0,4590254.0,1015578.0,5605832.0,55471.353601035495,32243.15019287057,2.4692716442447793,69.3982484669537,40.55619255090056,1.0,28.0,0.8188354556469049,0.18116454435309515,682.0,781.0,932.0,1116.0,1327.0,-3.585,622.37
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2008,75+,35450.0,0.0,35450.0,0.07758418814548622,1.0,0.0,6524784.0,1413250.0,7938034.0,46900.28500230661,23606.37010272317,2.3421572646325273,80.99778761340654,38.82802744357104,0.7590151415325256,32.0,0.8219647333332157,0.17803526666678424,682.0,781.0,932.0,1116.0,1327.0,-3.585,622.37
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2009,15-34,40574.0,39882.0,80456.0,0.17490168627868707,0.5043004872228298,0.4956995127771701,4476982.0,6262936.0,10739918.0,59600.108547756136,36200.190616352935,3.4081958540093136,28.924712088118362,39.91421182172899,0.3897100517899671,60.0,0.4168543931154782,0.5831456068845219,736.0,842.0,1005.0,1203.0,1431.0,-7.8100000000000005,573.6575
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2009,35-44,73342.0,24447.0,97789.0,0.21258154767210063,0.7500025565247626,0.2499974434752375,8346668.0,4971636.0,13318304.0,91625.24774821178,58759.324670168215,3.9266229393772663,40.21005512413593,40.72694526270011,0.6227701364978604,84.0,0.6267065235933945,0.37329347640660554,736.0,842.0,1005.0,1203.0,1431.0,-7.8100000000000005,573.6575
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2009,45-54,91743.0,23222.0,114965.0,0.24992010991137092,0.7980080894185186,0.20199191058148133,13440744.0,2026592.0,15467336.0,112852.74651575423,57922.65043598975,3.6668615720250726,48.66905677874975,40.608265831944166,0.8436200002379207,88.0,0.8689760150034886,0.13102398499651136,736.0,842.0,1005.0,1203.0,1431.0,-7.8100000000000005,573.6575
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2009,55-64,73647.0,7831.0,81478.0,0.1771233916005626,0.9038881661307346,0.09611183386926532,14542130.0,979656.0,15521786.0,167318.0543489003,70199.0754279179,2.5476907103344937,59.600267907314276,41.19831016868806,0.829500677306078,62.0,0.9368850981452779,0.06311490185472213,736.0,842.0,1005.0,1203.0,1431.0,-7.8100000000000005,573.6575
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2009,65-74,44222.0,0.0,44222.0,0.09613331971035223,1.0,0.0,6481074.0,560508.0,7041582.0,91124.72969994527,45502.28381690365,2.1816057812008722,69.64353294472748,40.11092194907338,1.0,30.0,0.9204002736884979,0.07959972631150215,736.0,842.0,1005.0,1203.0,1431.0,-7.8100000000000005,573.6575
