county_name,total_occupied_units,owner_occupied_total,owner_occupied_hh_15_24,owner_occupied_hh_25_34,owner_occupied_hh_35_44,owner_occupied_hh_45_54,owner_occupied_hh_55_59,owner_occupied_hh_60_64,owner_occupied_hh_65_74,owner_occupied_hh_75_84,owner_occupied_hh_85_plus,renter_occupied_total,renter_occupied_hh_15_24,renter_occupied_hh_25_34,renter_occupied_hh_35_44,renter_occupied_hh_45_54,renter_occupied_hh_55_59,state_fips,county_fips,year,county_clean,county_fips_full,owner_rate,renter_rate
"Union County, New Jersey",182933,109362,284,7172,24209,29958,11501,9138,12681,10420,3999,73571,2912,15431,18160,16579,4549,34,039,2007,Union,34039,0.5978254333553815,0.40217456664461854
"Warren County, New Jersey",42759,32182,115,3475,7196,8091,2936,3199,3349,3080,741,10577,1067,1477,2905,1499,394,34,041,2007,Warren,34041,0.752636871769686,0.2473631282303141
"Atlantic County, New Jersey",101076,73110,459,6440,15317,19872,6587,5942,9820,6124,2549,27966,1499,6793,5348,4678,2241,34,001,2008,Atlantic,34001,0.7233171079187938,0.2766828920812062
"Bergen County, New Jersey",331701,225394,388,13103,44258,59807,24239,23632,30956,20752,8259,106307,4195,25253,26869,19851,8338,34,003,2008,Bergen,34003,0.6795095583070295,0.3204904416929705
"Burlington County, New Jersey",165184,130118,452,13566,27876,33424,13144,11999,16532,9942,3183,35066,2120,9293,8544,6637,1601,34,005,2008,Burlington,34005,0.7877155172413793,0.2122844827586207
"Camden County, New Jersey",191668,132436,1415,14145,25574,35709,14897,11625,15211,9889,3971,59232,5715,15067,12406,9228,3675,34,007,2008,Camden,34007,0.690965628065196,0.30903437193480393
"Cape May County, New Jersey",47356,35975,531,3841,5609,7506,3706,3007,5917,4228,1630,11381,1609,2716,3120,1526,291,34,009,2008,Cape May,34009,0.7596714249514317,0.2403285750485683
"Cumberland County, New Jersey",51264,35093,186,3817,7196,8378,2991,4186,4194,2912,1233,16171,791,5165,3135,1993,1209,34,011,2008,Cumberland,34011,0.6845544631710362,0.3154455368289638
"Essex County, New Jersey",279297,129621,705,9573,27492,33821,14737,13126,16368,10159,3640,149676,10888,33535,33258,29384,9792,34,013,2008,Essex,34013,0.46409735872565766,0.5359026412743424
"Gloucester County, New Jersey",102002,81322,760,10211,17990,20803,8689,6699,9477,5547,1146,20680,1927,4330,4859,4093,1063,34,015,2008,Gloucester,34015,0.7972588772769161,0.20274112272308387
"Hudson County, New Jersey",234638,82951,102,9586,21269,19288,7913,7495,9250,5873,2175,151687,8437,34122,39071,29600,10542,34,017,2008,Hudson,34017,0.35352756160553706,0.646472438394463
"Hunterdon County, New Jersey",47797,41231,16,3781,10214,11174,5110,3436,4564,2352,584,6566,438,887,759,2056,452,34,019,2008,Hunterdon,34019,0.8626273615498881,0.13737263845011194
"Mercer County, New Jersey",127905,86375,305,8450,18156,21230,9734,8390,10425,7307,2378,41530,2727,11284,8453,7513,2315,34,021,2008,Mercer,34021,0.6753058910910441,0.3246941089089559
"Middlesex County, New Jersey",275089,183995,474,13897,42999,47464,22203,15860,20857,14968,5273,91094,6302,27512,21310,15699,5500,34,023,2008,Middlesex,34023,0.6688562610646009,0.3311437389353991
"Monmouth County, New Jersey",230530,175924,724,11946,35362,48454,22216,17590,22732,12253,4647,54606,3924,13474,10471,10689,2602,34,025,2008,Monmouth,34025,0.763128443152735,0.236871556847265
"Morris County, New Jersey",176084,133595,200,8320,29208,37276,13930,15521,17489,8925,2726,42489,2092,11370,9110,8885,3298,34,027,2008,Morris,34027,0.7587003929942527,0.24129960700574726
"Ocean County, New Jersey",221974,181757,1241,17952,28908,34644,14838,15159,26207,31999,10809,40217,2610,11509,8472,6983,2172,34,029,2008,Ocean,34029,0.8188211231946084,0.18117887680539163
"Passaic County, New Jersey",155533,89413,482,6385,19017,22564,10423,8310,12609,6934,2689,66120,2894,12243,17339,13507,4864,34,031,2008,Passaic,34031,0.5748812149190204,0.4251187850809796
"Salem County, New Jersey",24292,17517,82,2036,3455,4159,1901,1848,2264,1344,428,6775,451,1797,1040,923,761,34,033,2008,Salem,34033,0.7211015972336572,0.2788984027663428
"Somerset County, New Jersey",111280,89003,186,6122,21644,26126,9011,8298,10486,5404,1726,22277,594,6404,4894,4355,1409,34,035,2008,Somerset,34035,0.7998112868439972,0.20018871315600287
"Sussex County, New Jersey",55621,47097,184,4271,10844,12488,6946,4188,5353,2290,533,8524,538,1266,1656,2533,660,34,037,2008,Sussex,34037,0.8467485302313874,0.15325146976861256
"Union County, New Jersey",181121,110906,558,7625,21709,28567,13704,10786,13016,10362,4579,70215,3427,12635,19151,15042,5602,34,039,2008,Union,34039,0.6123309831549075,0.38766901684509253
"Warren County, New Jersey",42600,31141,101,2535,6925,9749,3027,2268,3428,2318,790,11459,480,2587,2651,2247,817,34,041,2008,Warren,34041,0.7310093896713615,0.2689906103286385
"Atlantic County, New Jersey",101681,71846,165,6117,13186,19467,7619,6950,10632,5673,2037,29835,2179,6512,5656,5593,2090,34,001,2009,Atlantic,34001,0.7065823506849854,0.29341764931501463
"Bergen County, New Jersey",336555,221717,1563,14459,42218,58791,23148,22848,29058,20107,9525,114838,5089,28399,24382,20514,9714,34,003,2009,Bergen,34003,0.6587838540506009,0.3412161459493991
"Burlington County, New Jersey",166769,129454,975,10957,26387,32990,14103,12403,16367,11151,4121,37315,3257,9036,8101,6548,3500,34,005,2009,Burlington,34005,0.7762473841061588,0.22375261589384118
"Camden County, New Jersey",192758,133895,748,15079,25702,33390,14416,12328,16498,12054,3680,58863,4133,15299,11270,11567,3138,34,007,2009,Camden,34007,0.6946274603388705,0.3053725396611295
"Cape May County, New Jersey",46989,31715,299,1754,3173,7596,3673,3360,7007,3962,891,15274,3806,2656,2794,1786,1039,34,009,2009,Cape May,34009,0.6749451999404116,0.3250548000595884
"Cumberland County, New Jersey",51597,34941,203,4175,5792,8380,3745,3664,4665,3101,1216,16656,980,3820,4099,2728,886,34,011,2009,Cumberland,34011,0.6771905343333915,0.3228094656666085
"Essex County, New Jersey",275365,127336,592,9297,26181,30254,16619,13583,16039,10988,3783,148029,7980,35134,33106,27243,11257,34,013,2009,Essex,34013,0.4624262342708768,0.5375737657291232
"Gloucester County, New Jersey",101728,82227,564,10038,17638,21479,9009,7218,8765,5749,1767,19501,1348,4862,3868,3725,830,34,015,2009,Gloucester,34015,0.8083025322428437,0.19169746775715635
"Hudson County, New Jersey",232745,77368,222,11409,18520,17123,7125,6850,8300,6349,1470,155377,6960,47343,32956,28198,10601,34,017,2009,Hudson,34017,0.33241530430299254,0.6675846956970074
"Hunterdon County, New Jersey",46662,39498,71,1743,8360,12510,4667,3933,4501,2661,1052,7164,237,1228,1763,1758,473,34,019,2009,Hunterdon,34019,0.8464703613218465,0.15352963867815353
"Mercer County, New Jersey",125904,83419,89,7180,16384,21473,8802,9357,10743,7204,2187,42485,2391,9969,8414,10070,2017,34,021,2009,Mercer,34021,0.6625603634515186,0.33743963654848136
"Middlesex County, New Jersey",272122,181798,240,15064,37289,49660,19179,15742,23208,16013,5403,90324,4219,26866,20753,15332,6713,34,023,2009,Middlesex,34023,0.6680753485568973,0.33192465144310274
"Monmouth County, New Jersey",231172,172360,560,9334,34563,49597,20689,17804,22416,12979,4418,58812,3567,12650,12497,11264,3936,34,025,2009,Monmouth,34025,0.7455920267160383,0.25440797328396175
"Morris County, New Jersey",175368,134254,219,8725,29583,37481,14360,13952,16664,9284,3986,41114,2352,8773,8924,7936,2751,34,027,2009,Morris,34027,0.7655558596779344,0.2344441403220656
"Ocean County, New Jersey",217045,177786,319,14046,26717,34086,16814,17125,33878,26536,8265,39259,2261,7895,7786,9306,2407,34,029,2009,Ocean,34029,0.8191204588910134,0.1808795411089866
"Passaic County, New Jersey",159056,88986,393,6564,16187,22792,10757,8111,12652,8805,2725,70070,2363,14763,18000,13899,4729,34,031,2009,Passaic,34031,0.559463333668645,0.440536666331355
"Salem County, New Jersey",25842,19049,88,2125,3615,3884,2016,2154,2592,1706,869,6793,336,1611,1208,1382,363,34,033,2009,Salem,34033,0.7371333488120114,0.2628666511879885
"Somerset County, New Jersey",115121,88347,192,6816,20318,25149,10014,8294,10620,5059,1885,26774,1011,6633,6904,4550,1977,34,035,2009,Somerset,34035,0.7674273156070569,0.23257268439294307
"Sussex County, New Jersey",55266,46913,152,4471,9565,14263,4663,5125,5494,2499,681,8353,626,1429,1780,2149,916,34,037,2009,Sussex,34037,0.8488582491948033,0.15114175080519668
"Union County, New Jersey",183648,113582,206,8481,21509,29568,12849,11203,14550,10285,4931,70066,3480,16437,16677,14696,5539,34,039,2009,Union,34039,0.6184766509844921,0.38152334901550794
"Warren County, New Jersey",41533,30060,70,2633,5279,9058,2644,3195,3875,2347,959,11473,739,1969,3623,1819,651,34,041,2009,Warren,34041,0.7237618279440445,0.2762381720559555
