county_fips,county,year,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_rate,renter_rate,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br,annual_change_pct,hpi
34011,Cumberland,2009,51597,34941,16656,0.6771905343333915,0.3228094656666085,779,782,985,1197,1261,-8.19,556.71
34013,Essex,2009,275365,127336,148029,0.4624262342708768,0.5375737657291232,869,1061,1213,1452,1606,-8.24,914.35
34015,Gloucester,2009,101728,82227,19501,0.8083025322428437,0.1916974677571563,736,842,1005,1203,1431,-8.19,603.77
34017,Hudson,2009,232745,77368,155377,0.3324153043029925,0.6675846956970074,989,1045,1219,1477,1591,-14.73,862.24
34019,Hunterdon,2009,46662,39498,7164,0.8464703613218465,0.1535296386781535,1106,1147,1349,1693,1997,-7.65,767.3
34021,Mercer,2009,125904,83419,42485,0.6625603634515186,0.3374396365484813,833,958,1152,1377,1545,-8.23,764.02
34023,Middlesex,2009,272122,181798,90324,0.6680753485568973,0.3319246514431027,1106,1147,1349,1693,1997,-8.13,659.8
34025,Monmouth,2009,231172,172360,58812,0.7455920267160383,0.2544079732839617,895,1034,1263,1646,1786,-7.61,852.32
34027,Morris,2009,175368,134254,41114,0.7655558596779344,0.2344441403220656,869,1061,1213,1452,1606,-7.64,913.61
34029,Ocean,2009,217045,177786,39259,0.8191204588910134,0.1808795411089866,895,1034,1263,1646,1786,-7.97,776.34
34031,Passaic,2009,159056,88986,70070,0.559463333668645,0.440536666331355,995,1114,1249,1543,1776,-8.91,803.66
34033,Salem,2009,25842,19049,6793,0.7371333488120114,0.2628666511879885,736,842,1005,1203,1431,-7.65,480.29
34035,Somerset,2009,115121,88347,26774,0.7674273156070569,0.232572684392943,1106,1147,1349,1693,1997,-7.41,745.28
34037,Sussex,2009,55266,46913,8353,0.8488582491948033,0.1511417508051966,869,1061,1213,1452,1606,-10.04,727.54
