Merge,State,Sub/Urb,HH_Size,Tenure,HH_Income,Supp_Weight,Relationship,Weight,Age,Education,Marital,Person_Income,Year,County
65280,22,2,3,2,103044,215036,1,2096.83,29,43,1,48022,1994,
65283,22,2,5,2,24012,94613,1,2252.61,40,34,1,24006,1994,
65284,22,2,2,2,28000,84306,2,2252.61,41,35,3,15000,1994,
65470,22,2,2,1,70957,212437,1,1964.29,60,42,1,70923,1994,
65482,22,2,3,2,17000,105316,1,2948.31,25,39,1,17000,1994,
65666,22,2,1,2,23448,228344,2,2197.02,80,34,4,23448,1994,
65895,22,2,3,1,90968,220323,1,2116.88,59,43,1,84000,1994,
65919,22,2,2,2,64530,109167,1,2360.34,31,39,1,18745,1994,
67941,22,2,1,2,391163,223059,2,2282.95,35,43,7,391163,1994,
67942,22,2,4,1,191512,114845,1,2068.45,31,43,1,143506,1994,
68098,22,2,2,1,52274,212937,1,2362.58,66,39,1,33743,1994,
68099,22,2,3,1,69450,105268,1,2026.87,36,37,1,49900,1994,
68100,22,2,5,1,77200,110270,1,2026.87,35,39,1,75100,1994,
68244,22,2,2,1,59676,213353,1,2175.37,58,39,5,34676,1994,
68245,22,2,2,1,87000,213353,1,2175.37,56,40,5,45000,1994,
68552,22,2,2,1,34218,203274,1,2007.64,64,40,5,19218,1994,
68553,22,2,4,1,162500,123431,1,2423.71,31,40,1,1750,1994,
68554,22,2,2,1,122411,226009,1,2189.09,58,40,5,72411,1994,
68561,22,2,1,2,28277,102820,2,2384.01,46,39,5,28277,1994,
68837,22,2,1,2,2544,215011,2,2082.67,39,39,4,2544,1994,
68838,22,2,5,1,200338,114672,1,2082.67,38,43,1,19,1994,
68839,22,2,2,1,57504,277980,1,2731.18,54,44,4,51000,1994,
69082,22,2,2,1,127336,207625,1,2362.58,67,39,1,91178,1994,
69083,22,2,2,1,52090,206452,1,2077.2,53,39,1,6795,1994,
69315,22,2,2,2,25290,127598,1,2069.09,68,33,1,8118,1994,
69567,22,2,1,2,30111,220583,2,2153.96,52,39,4,30111,1994,
69568,22,2,2,1,30792,226009,1,2002.99,58,39,1,396,1994,
72136,22,2,3,2,32480,124852,1,0.0,22,33,1,12480,1994,
72349,22,2,1,1,64258,186104,2,1924.09,44,40,7,64258,1994,
72481,22,2,1,2,0,252158,2,2609.91,80,36,4,0,1994,
72823,22,2,2,1,76882,263031,1,2632.14,60,39,1,63761,1994,
75300,22,2,1,2,24200,114234,2,0.0,26,40,7,24200,1994,
77899,22,2,2,2,26988,228111,2,2367.59,65,40,5,6540,1994,
83565,22,2,3,1,83220,156421,1,0.0,36,39,7,30220,1994,
83566,22,2,3,1,65111,129695,1,0.0,35,39,1,0,1994,
83567,22,2,5,1,25940,140693,1,0.0,44,43,1,20370,1994,
83568,22,2,4,1,113119,173704,1,0.0,53,45,1,104719,1994,
83569,22,2,4,1,46192,125356,1,0.0,48,43,1,45004,1994,
83572,22,2,5,1,169048,145948,1,0.0,40,43,1,78150,1994,
83573,22,2,5,1,158948,128862,1,0.0,42,39,1,94150,1994,
83574,22,2,1,2,15000,122983,2,0.0,51,43,3,15000,1994,
83575,22,2,5,1,72020,129695,1,0.0,37,43,1,72010,1994,
83576,22,2,4,1,141763,142919,1,0.0,50,39,1,93037,1994,
83577,22,2,2,1,134782,131451,1,2573.92,58,40,1,80141,1994,
83578,22,2,3,2,35150,144242,1,2248.9,32,39,1,150,1994,
83579,22,2,6,2,43449,145793,1,2126.08,42,33,1,200,1994,
83580,22,2,6,1,130238,137479,1,2211.38,50,39,1,50843,1994,
83737,22,2,3,1,157908,123016,1,0.0,38,36,1,40454,1994,
83738,22,2,2,1,26183,182674,1,2460.71,59,39,4,26183,1994,
83739,22,2,4,1,48598,128798,1,2216.75,36,39,1,48113,1994,
88942,22,2,5,1,241733,125356,1,2208.91,40,43,1,96292,1994,
88943,22,2,5,1,107784,129695,1,2177.08,39,39,1,46392,1994,
88944,22,2,4,1,122250,129695,1,2177.08,36,41,1,54125,1994,
88945,22,2,3,1,129124,128862,1,2248.9,34,44,1,25062,1994,
88946,22,2,3,1,97600,134006,1,2177.08,39,43,1,23300,1994,
89007,22,2,1,2,4872,162114,2,3366.88,38,42,7,4872,1994,
89008,22,2,2,2,48648,179573,1,3534.64,48,39,6,36000,1994,
89009,22,2,3,2,2254,169325,1,3707.91,23,37,7,2254,1994,
91864,22,2,3,1,53097,142919,1,0.0,46,39,1,22646,1994,
91865,22,2,4,1,108762,118852,1,0.0,40,43,1,60081,1994,
91868,22,2,4,1,118146,127950,1,0.0,64,40,1,78415,1994,
91869,22,2,3,2,87802,159618,1,0.0,46,43,1,28651,1994,
91935,22,2,5,1,74136,144242,1,0.0,34,44,1,3568,1994,
91936,22,2,1,2,10248,121303,2,0.0,70,39,4,10248,1994,
91937,22,2,1,2,46928,121303,2,0.0,68,33,7,46928,1994,
91938,22,2,1,2,23000,169325,2,0.0,22,39,7,23000,1994,
91939,22,2,1,2,6048,150759,2,0.0,75,32,7,6048,1994,
91940,22,2,5,1,81550,152141,1,0.0,18,38,7,28000,1994,
95173,22,2,2,2,40144,176477,1,3063.43,18,38,7,0,1994,
