county_clean,county_fips_full,year,age_group,owner_units_estimated,renter_units_estimated,total_age_group_units,age_group_share_of_total_units,owner_rate_within_age_group,renter_rate_within_age_group
Hudson,34017,2005,45-54,18842.0,26326.0,45168.0,0.19703367649624848,0.41715373715905063,0.5828462628409493
Hudson,34017,2005,55-59,7464.0,9534.0,16998.0,0.07414936311289479,0.4391104835863043,0.5608895164136958
Hudson,34017,2005,60-64,6349.0,0.0,6349.0,0.027695864596056535,1.0,0.0
Hudson,34017,2005,65-74,7960.0,0.0,7960.0,0.03472343395567964,1.0,0.0
Hudson,34017,2005,75-84,7236.0,0.0,7236.0,0.0315651718722736,1.0,0.0
Hudson,34017,2005,85+,2034.0,0.0,2034.0,0.00887279706857442,1.0,0.0
Hunterdon,34019,2005,15-24,78.0,388.0,466.0,0.01009947768795648,0.16738197424892703,0.8326180257510729
Hunterdon,34019,2005,25-34,3369.0,1299.0,4668.0,0.10116815847077437,0.7217223650385605,0.2782776349614396
Hunterdon,34019,2005,35-44,9341.0,900.0,10241.0,0.22195010944712945,0.9121179572307392,0.08788204276926082
Hunterdon,34019,2005,45-54,12062.0,1078.0,13140.0,0.28477926356169136,0.9179604261796043,0.08203957382039574
Hunterdon,34019,2005,55-59,4757.0,634.0,5391.0,0.11683751977633774,0.8823965869040994,0.11760341309590057
Hunterdon,34019,2005,60-64,3948.0,0.0,3948.0,0.08556381526191456,1.0,0.0
Hunterdon,34019,2005,65-74,3855.0,0.0,3855.0,0.0835482542641035,1.0,0.0
Hunterdon,34019,2005,75-84,2390.0,0.0,2390.0,0.051797750373854055,1.0,0.0
Hunterdon,34019,2005,85+,619.0,0.0,619.0,0.013415400619839188,1.0,0.0
Mercer,34021,2005,15-24,1007.0,3170.0,4177.0,0.03285742379547689,0.2410821163514484,0.7589178836485516
Mercer,34021,2005,25-34,8706.0,10737.0,19443.0,0.1529439528023599,0.44777040580157385,0.5522295941984262
Mercer,34021,2005,35-44,20321.0,7011.0,27332.0,0.2150009832841691,0.7434874871944973,0.2565125128055027
Mercer,34021,2005,45-54,21495.0,6338.0,27833.0,0.21894198623402164,0.7722846980203356,0.22771530197966441
Mercer,34021,2005,55-59,9498.0,3266.0,12764.0,0.10040511307767945,0.7441240990285177,0.2558759009714823
Mercer,34021,2005,60-64,7613.0,0.0,7613.0,0.059885939036381515,1.0,0.0
Mercer,34021,2005,65-74,10234.0,0.0,10234.0,0.08050344149459193,1.0,0.0
Mercer,34021,2005,75-84,6440.0,0.0,6440.0,0.05065880039331367,1.0,0.0
Mercer,34021,2005,85+,3051.0,0.0,3051.0,0.024,1.0,0.0
Middlesex,34023,2005,15-24,1120.0,7032.0,8152.0,0.030434490431354395,0.13738959764474976,0.8626104023552502
Middlesex,34023,2005,25-34,17589.0,23811.0,41400.0,0.1545618135252787,0.42485507246376814,0.5751449275362319
Middlesex,34023,2005,35-44,42087.0,22051.0,64138.0,0.23945134289575665,0.6561944557048863,0.3438055442951137
Middlesex,34023,2005,45-54,44836.0,15564.0,60400.0,0.22549597915282207,0.742317880794702,0.257682119205298
Middlesex,34023,2005,55-59,19302.0,3308.0,22610.0,0.0844116570967766,0.8536930561698364,0.14630694383016365
Middlesex,34023,2005,60-64,16458.0,0.0,16458.0,0.06144392094200572,1.0,0.0
Middlesex,34023,2005,65-74,19114.0,0.0,19114.0,0.07135977062130862,1.0,0.0
Middlesex,34023,2005,75-84,16671.0,0.0,16671.0,0.06223913027246186,1.0,0.0
Middlesex,34023,2005,85+,4734.0,0.0,4734.0,0.017673807372673173,1.0,0.0
Monmouth,34025,2005,15-24,1972.0,3325.0,5297.0,0.022941064375303168,0.37228619973569943,0.6277138002643006
Monmouth,34025,2005,25-34,13238.0,13644.0,26882.0,0.11642471069225972,0.49244847853582324,0.5075515214641768
Monmouth,34025,2005,35-44,41245.0,11247.0,52492.0,0.22734044764742567,0.7857387792425512,0.21426122075744874
Monmouth,34025,2005,45-54,47742.0,8835.0,56577.0,0.2450323955373848,0.8438411368577337,0.1561588631422663
Monmouth,34025,2005,55-59,18974.0,4118.0,23092.0,0.10001039429006998,0.8216698423696518,0.17833015763034818
Monmouth,34025,2005,60-64,15354.0,0.0,15354.0,0.06649747072274964,1.0,0.0
Monmouth,34025,2005,65-74,20124.0,0.0,20124.0,0.08715612223685122,1.0,0.0
Monmouth,34025,2005,75-84,13258.0,0.0,13258.0,0.05741979072829326,1.0,0.0
Monmouth,34025,2005,85+,4186.0,0.0,4186.0,0.018129374263737785,1.0,0.0
Morris,34027,2005,15-24,270.0,2483.0,2753.0,0.01594888016035779,0.09807482746095168,0.9019251725390484
Morris,34027,2005,25-34,11885.0,9406.0,21291.0,0.12334457228266536,0.5582170870320793,0.4417829129679207
Morris,34027,2005,35-44,31996.0,9147.0,41143.0,0.23835262493192905,0.7776778552852247,0.2223221447147753
Morris,34027,2005,45-54,33834.0,7130.0,40964.0,0.23731562909149895,0.8259447319597696,0.17405526804023044
Morris,34027,2005,55-59,14708.0,2825.0,17533.0,0.10157345290648499,0.8388752637882849,0.16112473621171505
Morris,34027,2005,60-64,13473.0,0.0,13473.0,0.07805276512913205,1.0,0.0
Morris,34027,2005,65-74,14373.0,0.0,14373.0,0.08326671069554034,1.0,0.0
Morris,34027,2005,75-84,9372.0,0.0,9372.0,0.05429455316486496,1.0,0.0
Morris,34027,2005,85+,2511.0,0.0,2511.0,0.01454690813027912,1.0,0.0
Ocean,34029,2005,15-24,1207.0,4362.0,5569.0,0.025189406789243956,0.21673550008978273,0.7832644999102173
Ocean,34029,2005,25-34,17618.0,10506.0,28124.0,0.12720899201664518,0.6264400512018206,0.3735599487981795
Ocean,34029,2005,35-44,30297.0,9134.0,39431.0,0.17835221747291766,0.7683548477086556,0.23164515229134439
Ocean,34029,2005,45-54,34334.0,7054.0,41388.0,0.18720401655471877,0.8295641248671113,0.17043587513288877
Ocean,34029,2005,55-59,13365.0,1809.0,15174.0,0.06863423570120089,0.8807829181494662,0.11921708185053381
Ocean,34029,2005,60-64,15558.0,0.0,15558.0,0.070371124228238,1.0,0.0
Ocean,34029,2005,65-74,28981.0,0.0,28981.0,0.1310853291720379,1.0,0.0
Ocean,34029,2005,75-84,32023.0,0.0,32023.0,0.14484474297216002,1.0,0.0
Ocean,34029,2005,85+,8508.0,0.0,8508.0,0.03848293642716602,1.0,0.0
Passaic,34031,2005,15-24,694.0,4719.0,5413.0,0.033093472399689426,0.12820986513947905,0.8717901348605209
Passaic,34031,2005,25-34,8896.0,12880.0,21776.0,0.13313198872633233,0.4085231447465099,0.59147685525349
Passaic,34031,2005,35-44,19101.0,16129.0,35230.0,0.21538574406818,0.5421799602611411,0.45782003973885893
Passaic,34031,2005,45-54,21795.0,15360.0,37155.0,0.22715462165351202,0.586596689543803,0.413403310456197
Passaic,34031,2005,55-59,9521.0,6010.0,15531.0,0.09495191572872279,0.6130320005150989,0.3869679994849012
Passaic,34031,2005,60-64,8550.0,0.0,8550.0,0.052272157586799296,1.0,0.0
Passaic,34031,2005,65-74,10855.0,0.0,10855.0,0.06636424217598905,1.0,0.0
Passaic,34031,2005,75-84,9543.0,0.0,9543.0,0.058343064310038086,1.0,0.0
Passaic,34031,2005,85+,3198.0,0.0,3198.0,0.019551621048255453,1.0,0.0
Salem,34033,2005,15-24,264.0,619.0,883.0,0.03568974576613718,0.29898074745186864,0.7010192525481314
Salem,34033,2005,25-34,2137.0,1142.0,3279.0,0.1325330423184188,0.6517230863068009,0.34827691369319913
Salem,34033,2005,35-44,3254.0,1463.0,4717.0,0.1906551877450386,0.6898452406190375,0.3101547593809625
Salem,34033,2005,45-54,5135.0,833.0,5968.0,0.24121902914191018,0.8604222520107239,0.13957774798927614
Salem,34033,2005,55-59,2255.0,145.0,2400.0,0.09700497150478962,0.9395833333333333,0.06041666666666667
Salem,34033,2005,60-64,1296.0,0.0,1296.0,0.0523826846125864,1.0,0.0
